question;a1;a2;a3;a4;ra;image;topic;marked
1) Du möchtest einen Thermikschlauch nutzen, in dem bereits in Deiner Höhe ein Segelflugzeug kreist.;A) Ein Thermikschlauch darf nicht von Segelflugzeugen und Gleitschirmen gleichzeitig genutzt werden, da unterschiedliche Kreisradien;B) Es muss die Drehrichtung des Segelflugzeuges eingenommen werden;C) Um sich immer gegenseitig in Sicht zu haben, muss der Gleitschirmflieger in entgegen gesetzter Drehrichtung einkreisen;D) Da der Gleitschirm schneller steigt, hat das Segelflugzeug seine Drehrichtung nach der des Gleitschirmfliegers zu richten;2;0;Kollisionsvermeidung und Ausweichregeln;0
2) Ein Gleitschirmflieger befindet sich auf einem Überlandflug. Die Flugrichtung kreuzt in nahezu gleicher Höhe ein Motorsegler, der von links kommt. Der Gleitschirmflieger;A) darf seine Flugrichtung beibehalten;B) muss dem Motorsegler ausweichen;C) muss dann ausweichen, wenn der Motor des Motorseglers abgestellt ist;D) hat nur dann Vorflugrecht, wenn der Motor des Motorseglers in Betrieb ist;1;0;Kollisionsvermeidung und Ausweichregeln;0
3) Ein Gleitschirm und ein Segelflugzeug nähern sich auf etwa gleicher Höhe mit kreuzenden Kursen an. Welche Ausweichregel gilt für diesen Fall?;A) Beide weichen nach rechts aus;B) Das von links kommende Luftfahrzeug ist ausweichpflichtig;C) Das von rechts kommende Luftfahrzeug ist ausweichpflichtig;D) Das Segelflugzeug muss dem Gleitschirm ausweichen;2;0;Kollisionsvermeidung und Ausweichregeln;0
4)Ein Gleitschirmflieger befindet sich auf einem Überlandflug. Die Flugrichtung kreuzt in nahezu gleicher Höhe ein Segelflieger, der von links kommt. Der Segelflieger ;A) hat Vorflugrecht;B) muss dem Gleitschirmflieger ausweichen;D) muss dem Gleitschirmflieger nach links ausweichen;D) muss dem Gleitschirmflieger nach rechts ausweichen;2;0;Kollisionsvermeidung und Ausweichregeln;0
5) Ein Motorflugzeug nähert sich einem Gleitschirmflieger im freien Luftraum auf Kollisionskurs direkt von vorne. Welche Aussagen sind richtig?;A) Das Motorflugzeug muss nach rechts ausweichen, der Gleitschirm darf geradeaus weiterfliegen;B) Das Motorflugzeug muss nach links ausweichen, der Gleitschirm muss ebenfalls nach links ausweichen;C) Beide Luftfahrzeuge müssen nach rechts ausweichen;D) Der Gleitschirm muss nach rechts ausweichen, weil es sich bei ihm um das wendigere Luftfahrzeug handelt;3;0;Kollisionsvermeidung und Ausweichregeln;0
6) Ein Gleitschirm oder Hängegleiter der sich im Endanflug zur Landung befindet,;A) darf nicht unterflogen oder überholt werden;B) darf überholt, aber nicht unterflogen werden;C) darf unterflogen, aber nicht überholt werden;D) muss einem anderen, der ihn unterfliegt oder überholt, ausweichen;1;0;Kollisionsvermeidung und Ausweichregeln;0
7) Ein Hängegleiter nähert sich von rechts während ein Gleitschirm in einer Thermik links herum kreist. Wer ist ausweichpflichtig?;A) Der Hängegleiter, weil im Aufwind kreisenden Fluggeräte auszuweichen ist;B) Der Hängegleiter, weil er schneller fliegen kann;C) Der Gleitschirm, weil der Hängegleiter von rechts kommt;D) Für diesen Fall gibt es eigentlich keine Regeln;1;0;Kollisionsvermeidung und Ausweichregeln;0
8) Abbildung 46: Ein Gleitschirm und ein Hängegleiter kreuzen ihre Flugbahnen, wie auf der Abbildung. Wie wird ausgewichen?;A) Beide müssen nach rechts ausweichen;B) Das von links kommende Luftfahrzeug muss nach rechts ausweichen;C) Das von links kommende Luftfahrzeug muss nach links ausweichen;D) Das von links kommende Luftfahrzeug muss ausweichen, die Ausweichrichtung ist nicht vorgeschrieben;4;46;Kollisionsvermeidung und Ausweichregeln;0
9) Abbildung 43: Ein Gleitschirmflieger kreist in der Thermik. Ein Drachenflieger kommt herangeflogen. Wer ist ausweichpflichtig?;A) Der Drachenflieger, denn den im Aufwind kreisenden Fluggeräten muss ausgewichen werden. Die Ausweichrichtung ist nicht vorgeschrieben.;B) Der Drachenflieger, weil die Drachen den Gleitschirmen immer ausweichen müssen.;C) Der Gleitschirmflieger, weil die Gleitschirme den Drachen immer ausweichen müssen.;D) Der Gleitschirmflieger muss nur ausweichen, wenn der Drachenflieger von rechts herankommt. Die Ausweichrichtung ist nicht vorgeschrieben;1;43;Kollisionsvermeidung und Ausweichregeln;0
10) Du willst in einem deutschen Fluggebiet nahe am Hang in eine Thermik einkreisen. Was ist bezüglich der Ausweichregeln zu beachten?;A) Dass den Piloten, die am Hang soaren, ausgewichen werden muss, denn die Hangflugregeln haben hier Vorrang.;B) Dass dies grundsätzlich verboten ist, weil am Hang nur im Hangflug geflogen werden darf (Soaring).;C) Dass dies nur dann erlaubt ist, wenn sich an dem Hang keine weiteren Piloten befinden.;D) Nichts besonderes, denn andere Piloten müssen mir ausweichen, da ich im Aufwind kreise.;1;0;Kollisionsvermeidung und Ausweichregeln;0
11) Du willst in einem österreichischen Fluggebiet nahe am Hang in eine Thermik einkreisen. Was ist bezüglich der Ausweichregeln zu beachten?;A) Dem in der Thermik kreisenden Fluggerät ist in Österreich auszuweichen, unabhängig davon, ob es im freien Luftraum oder am Hang kreist.;B) Dass dies grundsätzlich verboten ist, weil am Hang nur im Hangflug geflogen werden darf (Soaring).;C) Dass dies nur dann erlaubt ist, wenn sich an dem Hang keine weiteren Piloten befinden.;D) Dass den Piloten, die am Hang soaren, ausgewichen werden muss, denn die Hangflugregeln haben hier Vorrang.;1;0;Kollisionsvermeidung und Ausweichregeln;0
12) Wie lautet die übergeordnete Rechtsvorschrift zur Kollisionsvermeidung im europäischen Regelwerk SERA, die auch für Gleitschirme und Hängegleiter gilt?;A) Ein Luftfahrzeug darf nicht so nah an anderen Luftfahrzeugen betrieben werden, dass die Gefahr eines Zusammenstoßes besteht.;B) Zwischen Luftfahrzeugen in Betrieb muss immer mindestens 1 nautische Meile Abstand eingehalten werden.;C) Vertikal muss der Mindestabstand 1.000 Fuß (rund 300 Meter) betragen, horizontal mindestens drei nautische Meilen (5,6 Kilometer).;D) Wer von rechts kommt, hat immer das Vorflugrecht.;1;0;Kollisionsvermeidung und Ausweichregeln;0
13) Abbildung 44: Auf einem Streckenflug kannst Du an einem Talwind-Prallhang aufsoaren und diesen überhöhen. Oberhalb der Hangkante fliegen mehrere Gleitschirme und Drachen mit Hangflugtechnik im dynamischen Hangaufwind. Wie müssen sich diese Fluggeräte ausweichen, wenn sie aufeinander zufliegen?;A) Der Pilot, der den Leebereich an seiner linken Seite hat muss nach rechts ausweichen;B) Beide weichen nach links aus;C) Der Pilot, der den Leebereich an seiner rechten Seite hat muss nach links ausweichen;D) Oberhalb der Hangkante gelten die Hangflugregeln nicht, sondern die allgemeinen Ausweichregeln;1;44;Kollisionsvermeidung und Ausweichregeln;0
14) Abbildung 45: Bei einer Begegnung am Hang, wie auf der Abbildung;A) muss das Fluggerät nach rechts ausweichen, das den Hang an seiner linken Seite hat;B) muss das Fluggerät nach links ausweichen, das den Hang an seiner rechten Seite hat;C) muss stets der Gleitschirm dem Drachen ausweichen, weil Gleitschirme wendiger sind;D) weichen beide Fluggeräte nach rechts aus;1;45;Kollisionsvermeidung und Ausweichregeln;0
15) Abbildung 47: Gleitschirme, Hängegleiter und Segelflieger überholen sich;A) rechts oder links;B) gar nicht;C) links;D) rechts;1;47;Kollisionsvermeidung und Ausweichregeln;0
1) Gleitschirme und Hängegleiter haben in Deutschland und Österreich;A) eine grundsätzliche Außenlandeerlaubnis.;B) eine Außenlandeerlaubnis nur in Notfällen.;C) eine grundsätzliche Außenlandeerlaubnis nur bei Überlandflügen, wenn der geplante Landeplatz nicht erreicht werden kann;D) eine grundsätzliche Außenlandeerlaubnis nur bei Überlandflügen.;3;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
2) Überlandflüge nach österreichischem Luftrecht sind Flüge;A) von Piloten mit Überlandberechtigung;B) über Landesgrenzen;C) im Flachland;D) die weiter als 10 km vom Startplatz wegführen;4;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
3) Wozu ist ein Gleitschirm- oder Hängegleiterpilot vor Antritt eines Überlandfluges verpflichtet?;A) Einen Flugplan aufzugeben;B) Seinen Flug zu planen und sich über Lufträume und Flugwetter zu informieren;C) Eine Flugberatung beim AIS einzuholen;D) Das Fluggerät mit einem Funkgerät auszurüsten;2;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
4) Nach einer Außenlandung mit einem Gleitschirm oder Hängegleiter will ein Landwirt den Abtransport verhindern, obwohl Du ihm Name und Anschrift von Dir, vom Gerätehalter und vom Versicherer angegeben hast. Darf er das?;A) Ja;B) Ja, wenn die Außenlandung nicht unbedingt erforderlich war;C) Ja, bis zum Eintreffen der Polizei;D) Nein;4;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
5) Wann darf eine Landung außerhalb eines zugelassenen Landeplatzes durchgeführt werden?;A) Außenlandungen sind grundsätzlich nur in Notfällen erlaubt.;B) Bei einem Überlandflug, wenn der geplante Landeplatz nicht erreicht werden kann (Außenlandung) und in Notfällen (Notlandung).;C) Grundsätzlich immer, wenn der Grundstückseigentümer einverstanden ist.;D) Für Piloten mit B-Lizenz besteht bei allen Flügen eine generelle Außenlande-Erlaubnis.;2;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
6) Gemäß § 25 LuftVG darfst Du in Deutschland nur auf Fluggeländen starten;A) wenn diese vom Verkehrsministeriums genehmigt sind;B) für die eine Erlaubnis des Beauftragten (DHV) erteilt ist;C) wenn diese für den Flugbetrieb geeignet sind;D) wenn Du eine Fluglizenz besitzt;2;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
7) Die Flugverkehrskontrolle wird in Deutschland ausgeübt:;A) vom DHV;B) vom LBA;C) von der Luftfahrtbehörde des jeweiligen Bundeslandes;D) von der Deutschen Flugsicherung GmbH (DFS);4;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
8) Die Flugverkehrskontrolle wird in Österreich ausgeübt:;A) von der Austro Control GmbH;B) vom Bundesministerium für Verkehr, Innovation und Technologie;C) von der Luftfahrtbehörde des jeweiligen Bundeslandes;D) vom Österreichischen Aeroclub;1;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
9) Ein Überlandflug mit einem Hängegleiter oder Gleitschirm in Deutschland;A) führt weiter als 10 km vom Startplatz weg;B) führt über die Umgebung der Startstelle hinaus;C) ist ein Flug innerhalb des kontrollierten Luftraums;D) ist ein Flug mit Ziel und Rückkehr;1;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
10) Ein Gleitschirmflieger plant einen Überlandflug zu einem Segelflugplatz in der Nähe. Eine planmäßige Landung dort ist;A) generell nicht gestattet;B) nur am Wochenende genehmigt;C) nur mit Funk möglich;D) nur mit einer entsprechenden Platzzulassung erlaubt;4;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
11) Straftaten im Sinne des Strafgesetzbuches oder des Luftverkehrsgesetzes sind;A) Fliegen ohne Luftfahrerschein;B) mit Freiheits- oder Geldstrafe bedroht;C) Trunkenheit im Luftverkehr;D) Alle Antworten sind richtig;4;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
12) Kennzeichnung für Hängegleiter und Gleitschirme in Deutschland ist notwendig;A) bei jedem Überlandflug.;B) für Anfänger.;C) bei Überlandflügen, wenn über Flugfunk eine Freigabe für das Durchfliegen eines Luftraums angefordert werden soll.;D) für den Grenzübertritt.;3;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
13) Der Fluginformationsdienst (FIS);A) umfasst allgemeine Flugverkehrshinweise und Navigationswarnungen.;B) ist ein Service der DFS und hat Dienststellen an allen Verkehrsflughäfen.;C) gibt Notams der Klasse 1 heraus.;D) steht Luftsportgeräteführern nicht zur Verfügung.;1;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
14) Bei einer Außenlandung hast Du im Feld eines Bauern erheblichen Flurschaden angerichtet. Welche Aussage ist korrekt?;A) Den Schaden begleicht die Halterhaftpflicht-Versicherung, die jeder Pilot unterhalten muss.;B) Den Schaden muss der Pilot immer aus eigener Tasche bezahlen.;C) Wegen der generellen Außenlandeerlaubnis muss Schadensersatz in einem solchen Fall nicht geleistet werden.;D) Der Schaden wird vom Europäischen Garantiefonds für die Landwirtschaft (EGFL) übernommen.;1;0;Rechtsvorschriften, Behörden, Haftung und Versicherung;0
1) Der untere Luftraum;A) reicht von GND bis Flugfläche (FL) 245;B) reicht von MSL bis Flugfläche (FL) 100;C) reicht von MSL bis Flugfläche (FL) 245;D) reicht von GND bis Flugfläche (FL) 100;1;0;Luftraumvorschriften und Bezeichnungen allgemein;0
"2) Welche Bedeutung hat die Abkürzung ""VFR” im Bereich der Luftfahrt?";A) Vorflugregeln;B) Sichtwetterbedingungen;C) Instrumentenflugregeln;D) Visual Flight Rules (Sichtflugregeln);4;0;Luftraumvorschriften und Bezeichnungen allgemein;0
